Connection_id,Actor_id,Movie_id
128,89609,22941
129,148021,22941
130,84940,36821
131,1062047,36821
132,13848,53388
133,147991,53388
134,89600,53388
135,13848,53391
136,13848,53393
137,147991,53393
138,89522,53393
139,89609,53393
140,108627,53393
141,1321410,161710
142,13848,53372
143,89522,53372
144,30018,53372
145,147985,53372
146,89600,53372
147,147991,53372
148,96725,53372
149,89601,53372
150,13848,53370
151,89522,53370
152,89600,53370
153,13848,53394
154,108627,53394
155,13848,22943
156,89610,22943
157,14435,22943
158,147991,22943
159,13848,53375
160,89522,53375
161,30018,53375
162,147985,53375
163,13856,53375
164,13848,53410
165,21301,53410
166,29961,53410
167,148053,53410
168,21305,53410
169,8828,618
170,8829,618
171,100245,618
172,29950,618
173,148791,618
174,13848,53406
175,89615,53406
176,85778,53406
177,21301,53406
178,1036287,109632
179,148791,109632
180,103493,109632
181,148786,109632
182,90333,109632
183,13848,43678
184,89615,43678
185,44879,43678
186,21305,43678
187,13848,53415
188,21301,53415
189,33949,53415
190,89615,53415
191,21310,53415
192,12249,70368
193,1147460,70368
194,90333,70368
195,123584,38730
196,1062045,38730
197,1062047,38730
198,97981,38730
199,13848,53402
200,148821,53402
201,148053,53402
202,13848,53405
203,78856,53405
204,21305,53405
205,89615,53405
206,21301,53405
207,29274,53405
208,13848,50775
209,21301,50775
210,21305,50775
211,89615,50775
212,29961,50775
213,29274,50775
214,13848,53403
215,33949,53403
216,89615,53403
217,13848,53412
218,147991,53412
219,21305,53412
220,148053,53412
221,89615,53412
222,13954,52276
223,8638,86081
224,89601,86081
225,1349137,86081
226,13848,53411
227,89615,53411
228,21301,53411
229,21310,53411
230,13848,30982
231,21305,30982
232,89615,30982
233,21301,30982
234,29274,30982
235,13848,53409
236,148053,53409
237,21301,53409
238,29274,53409
239,13848,53408
240,148053,53408
241,21301,53408
242,29274,53408
243,105952,30266
244,13848,53419
245,21301,53419
246,21303,53419
247,21306,53419
248,21305,53419
249,14438,53419
250,13848,2079
251,21301,2079
252,21303,2079
253,21306,2079
254,14438,2079
255,21310,2079
256,13848,53417
257,21301,53417
258,21305,53417
259,21303,53417
260,29274,53417
261,21306,53417
262,21310,53417
263,13848,53416
264,21303,53416
265,21301,53416
266,21305,53416
267,21306,53416
268,29274,53416
269,14438,53416
270,931238,84772
271,397765,84772
272,98045,84772
273,8828,3059
274,29950,3059
275,8829,3059
276,29952,3059
277,29953,3059
278,29258,52035
279,1096850,52035
280,13848,53418
281,21306,53418
282,13848,2078
283,14438,2078
284,21301,2078
285,21310,2078
286,21306,2078
287,21303,2078
288,13848,53414
289,21301,53414
